Name,Funding,Department
Cooperative Science and Education Program ,145000,Department of Commerce
Coral Reef Conservation Program ,7000000,Department of Commerce
Digital Equity Competitive Grant Program,0,Department of Commerce
Distressed Area Recompete Pilot Program ,145000000,Department of Commerce
Economic Adjustment Assistance ,447000000,Department of Commerce
Economic Development Support for Planning Organizations ,30000000,Department of Commerce
Economic Development Technical Assistance ,13000000,Department of Commerce
Education Quality Award Ambassadorship,0,Department of Commerce
Educational Partnership Program ,19000000,Department of Commerce
"Environmental Sciences, Applications, Data, and Education ",1000000,Department of Commerce
Financial Assistance for National Centers for Coastal Ocean Science,0,Department of Commerce
Fisheries Development and Utilization Research and Development Grants and Cooperative Agreements Program,0,Department of Commerce
Fisheries Disaster Relief ,373000000,Department of Commerce
Fisheries Finance Program,0,Department of Commerce
Fishermens Contingency Fund,0,Department of Commerce
Fishery Products Inspection and Certifcation,0,Department of Commerce
Geodetic Surveys and Services (Geodesy and Applications of the National Geodetic Reference System) ,20000000,Department of Commerce
"Gulf Coast Ecosystem Restoration Science, Observation, Monitoring, and Technology ",6000000,Department of Commerce
Habitat Conservation ,453000000,Department of Commerce
Integrated Ocean Observing System (IOOS) ,135000000,Department of Commerce
Interjurisdictional Fisheries Act of 1986 ,6000000,Department of Commerce
Investments for Public Works and Economic Development Facilities ,98000000,Department of Commerce
Manufacturing Extension Partnership ,152000000,Department of Commerce
Marine Debris Program ,74000000,Department of Commerce
Marine Fisheries Initiative ,511000,Department of Commerce
Marine Mammal Data Program ,3000000,Department of Commerce
Marine Sanctuary Program ,33000000,Department of Commerce
Market Development Cooperator Program,0,Department of Commerce
MBDA Business Center ,14000000,Department of Commerce
MBDA Business Center - American Indian and Alaska Native ,4000000,Department of Commerce
Measurement and Engineering Research and Standards ,77000000,Department of Commerce
Meteorologic and Hydrologic Modernization Development ,18000000,Department of Commerce
Middle Mile (Broadband) Grant Program,0,Department of Commerce
Minority Business Resource Development ,6000000,Department of Commerce
National Oceanic and Atmospheric Administration (NOAA) Cooperative Institutes ,259000000,Department of Commerce
National Standard Reference Data System ,10000000,Department of Commerce
National Weather Service Offce of Science and Technology Integration Modeling Program ,710000,Department of Commerce
NOAA Mission-Related Education Awards ,8000000,Department of Commerce
"NOAA Programs for Disaster Relief Appropriations Act, Non-Construction and Construction",0,Department of Commerce
NOAA Small Business Innovation Research (SBIR) Program ,16000000,Department of Commerce
Ocean Acidifcation Program (OAP) ,5000000,Department of Commerce
Ocean Exploration ,2000000,Department of Commerce
Offce for Coastal Management ,791000000,Department of Commerce
Pacifc Coast Salmon Recovery Pacifc Salmon Treaty Program ,171000000,Department of Commerce
Pacifc Fisheries Data Program ,20000000,Department of Commerce
Public Wireless Supply Chain Innovation Fund Grant Program ,135000000,Department of Commerce
Regional Fishery Management Councils ,48000000,Department of Commerce
Regional Technology and Innovation Hubs ,346000000,Department of Commerce
Research and Evaluation Program ,1000000,Department of Commerce
"Science, Technology, Business and/or Education Outreach ",26000000,Department of Commerce
"Science, Technology, Engineering and Mathematics (STEM) Talent Challenge Program",0,Department of Commerce
Sea Grant Support ,157000000,Department of Commerce
Southeast Area Monitoring and Assessment Program ,1000000,Department of Commerce
Special Oceanic and Atmospheric Projects,0,Department of Commerce
Special Projects ,289000,Department of Commerce
Standard Reference Materials ,27000000,Department of Commerce
Standards Information Center ,116000,Department of Commerce
State Digital Equity Planning and Capacity Grant ,30000000,Department of Commerce
"Statistical, Research and Methodology Assistance ",321000,Department of Commerce
Trade Adjustment Assistance for Firms ,15000000,Department of Commerce
Tribal Broadband Connectivity Program ,14000000,Department of Commerce
U.S. and Foreign Commercial Service Pilot Fellowship Program,0,Department of Commerce
Unallied Industry Projects $123k Unallied Management Projects $11 mil. Unallied Science Program ,66000000,Department of Commerce
Weather and Air Quality Research ,35000000,Department of Commerce
Weights and Measures Service ,5000000,Department of Commerce
"Advanced Manufacturing Technology: Offce of the Secretary of Defense (OSD), Manufacturing Technology (ManTech) Program ",252000000,Department of Defense
Air Force Academy Athletic Programs ,14000000,Department of Defense
Air Force Defense Research Sciences Program ,845000000,Department of Defense
Air Force Medical Research and Development ,150000,Department of Defense
Army National Guard Army Compatible Use Buffer Program ,37000000,Department of Defense
Basic and Applied Scientifc Research ,296000000,Department of Defense
Basic Scientifc Research ,800000000,Department of Defense
"Basic, Applied, and Advanced Research in Science and Engineering ",75000000,Department of Defense
Civil Air Patrol Program ,71000000,Department of Defense
Collaborative Research and Development ,16000000,Department of Defense
Commercial Technologies for Maintenance Activities Program ,591000000,Department of Defense
Community Economic Adjustment Assistance for Advance Planning and Economic Diversifcation,0,Department of Defense
Community Economic Adjustment Assistance for Compatible Use and Joint Land Use Studies,0,Department of Defense
Community Economic Adjustment Assistance for Establishment or Expansion of a Military Installation ,9000000,Department of Defense
Community Economic Adjustment Assistance for Realignment or Closure of a Military Installation ,5000000,Department of Defense
Community Economic Adjustment Assistance for Reductions in Defense Industry Employment,0,Department of Defense
Community Economic Adjustment Assistance for Reductions in Defense Spending,0,Department of Defense
Community Economic Adjustment Assistance for Responding to Threats to the Resilience of a Military Installation ,22000000,Department of Defense
Community Investment ,331000000,Department of Defense
Community Noise Mitigation Program,0,Department of Defense
Competitive Grants: Promoting K-12 Student Achievement at Military-Connected Schools ,30000000,Department of Defense
Congressionally Directed Assistance ,71000000,Department of Defense
Conservation and Rehabilitation of Natural Resources on Military Installations ,593000,Department of Defense
Corps Water Infrastructure Financing Program (CWIFP),0,Department of Defense
CyberSecurity Core Curriculum ,20000000,Department of Defense
Defense Community Infrastructure Program ,100000000,Department of Defense
Defense Production Act Title III (DPA Title III) ,583000000,Department of Defense
"Defense Security Cooperation University, Sponsored Research ",2000000,Department of Defense
Dept. of Defense Appropriation Act of 2003 ,2000000,Department of Defense
Dept. of Defense HIV/AIDS Prevention Program ,61000000,Department of Defense
"Dept. of Defense Impact Aid (Supplement, CWSD, BRAC) ",70000,Department of Defense
Dissertation Year Fellowship ,30000,Department of Defense
DoD Mentor-Protege Program ,31000000,Department of Defense
"DOD, NDEP, DOTC-STEM Education Outreach Implementation ",255000,Department of Defense
Dredged Material Containment Area ,639000,Department of Defense
Ease 3.0 ,20000000,Department of Defense
Economic Adjustment Assistance for State Governments ,3000000,Department of Defense
English for Heritage Language Speakers Grants to U.S. Institutions of Higher Education ,1000000,Department of Defense
Fisher House Foundation ,5000000,Department of Defense
Fort Huachuca Sentinel Landscapes for Military Training ,13000,Department of Defense
GenCyber Grants Program,0,Department of Defense
Information Security Grants ,14000000,Department of Defense
Language Grant Program,0,Department of Defense
Language Training Center ,14000000,Department of Defense
Legacy Resource Management Program ,6000000,Department of Defense
"Management of Undersirable Plants on Federal Lands, 7 U.S.C. 2814",0,Department of Defense
Marine Corps Systems Command Federal Assistance Program ,4000000,Department of Defense
Mathematical Sciences Grants ,2000000,Department of Defense
"Military Construction, National Guard ",299000000,Department of Defense
Military Health Services Research (MHSR) ,8000000,Department of Defense
Military Medical Research and Development ,1500000000,Department of Defense
